TOTAL_RESPONSE_TIME,CREATE_BUFFER,WRITE_BUFFER,CREATE_KERNEL_ARGS,CREATE_KERNEL,LAUNCH_KERNEL,READ_BUFFER,KERNEL_EXECUTION_TIME
0.022064,0.000146,0.001153,0.000004,0.014981,0.002309,0.003439,0.001818
0.003397,0.000007,0.000720,0.000002,0.000070,0.002060,0.000528,0.001819
0.003260,0.000004,0.000675,0.000001,0.000032,0.002021,0.000519,0.001810
0.003276,0.000003,0.000682,0.000001,0.000030,0.002031,0.000521,0.001832
0.003258,0.000003,0.000677,0.000001,0.000028,0.001999,0.000541,0.001806
0.003260,0.000003,0.000680,0.000001,0.000027,0.002014,0.000527,0.001814
0.003281,0.000003,0.000703,0.000001,0.000029,0.002013,0.000523,0.001820
0.003252,0.000002,0.000675,0.000001,0.000028,0.002013,0.000524,0.001820
0.003241,0.000003,0.000673,0.000001,0.000027,0.002013,0.000515,0.001806
0.003276,0.000003,0.000679,0.000001,0.000028,0.002023,0.000533,0.001823
0.003271,0.000003,0.000679,0.000001,0.000029,0.002002,0.000547,0.001809
0.003266,0.000003,0.000683,0.000001,0.000030,0.002016,0.000526,0.001822
0.003272,0.000002,0.000695,0.000001,0.000029,0.002014,0.000521,0.001819
0.003246,0.000004,0.000679,0.000002,0.000027,0.002002,0.000525,0.001811
0.003249,0.000003,0.000671,0.000001,0.000026,0.002026,0.000512,0.001826
0.003273,0.000003,0.000678,0.000001,0.000028,0.002008,0.000545,0.001821
0.003248,0.000004,0.000679,0.000002,0.000028,0.001998,0.000527,0.001806
0.003285,0.000003,0.000724,0.000001,0.000028,0.001999,0.000520,0.001807
0.003238,0.000003,0.000672,0.000002,0.000027,0.002001,0.000523,0.001812
0.003252,0.000003,0.000678,0.000001,0.000028,0.002012,0.000521,0.001818
0.003247,0.000003,0.000673,0.000001,0.000029,0.002014,0.000518,0.001821
0.003247,0.000003,0.000680,0.000001,0.000028,0.002001,0.000525,0.001812
0.003259,0.000002,0.000702,0.000001,0.000028,0.001994,0.000523,0.001804
0.003266,0.000003,0.000679,0.000002,0.000026,0.002020,0.000527,0.001811
0.003418,0.000003,0.000674,0.000001,0.000029,0.002009,0.000694,0.001819
0.003272,0.000003,0.000679,0.000001,0.000026,0.002031,0.000524,0.001831
